URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.org/fhir/ValueSet/all-types,4.0.1,active,"2.16.840.1.113883.4.642.3.25",FHIRAllTypes,FHIRAllTypes,"A list of all the concrete types defined in this version of the FHIR specification - Abstract Types, Data Types and Resource Types.","StructureDefinition/mindfulness-operation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/basic-resource-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.138",BasicResourceTypes,Basic Resource Types,"This value set defines codes for resources not yet supported by (or which will never be supported by) FHIR.  Many of the codes listed here will eventually be turned into official resources.  However, there is no guarantee that any particular resource will be created nor that the scope will be exactly as defined by the codes presented here.  Codes in this set will be deprecated if/when formal resources are defined that encompass these concepts.","StructureDefinition/mindfulness-configuration,StructureDefinition/mindfulness-schedule,StructureDefinition/mindfulness-alert,StructureDefinition/mindfulness-audit-config,StructureDefinition/mindfulness-audit","THO"
http://hl7.org/fhir/ValueSet/binding-strength,4.0.1,active,"2.16.840.1.113883.4.642.3.43",BindingStrength,BindingStrength,"Indication of the degree of conformance expectations associated with a binding.","StructureDefinition/mindfulness-operation","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mindfulness-observation,StructureDefinition/heart-rate-observation,StructureDefinition/calorie-intake-observation,StructureDefinition/height-observation,StructureDefinition/water-intake-observation,StructureDefinition/body-composition-observation,StructureDefinition/body-metrics-observation,StructureDefinition/physical-activity-observation,StructureDefinition/sleep-observation,StructureDefinition/nutrition-intake-observation,StructureDefinition/blood-pressure-observation,StructureDefinition/bmi-observation,StructureDefinition/macronutrients-observation,StructureDefinition/weight-observation,StructureDefinition/lifestyle-vital-signs,StructureDefinition/oxygen-saturation-observation","SCT"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/mindfulness-observation,StructureDefinition/heart-rate-observation,StructureDefinition/calorie-intake-observation,StructureDefinition/height-observation,StructureDefinition/water-intake-observation,StructureDefinition/body-composition-observation,StructureDefinition/body-metrics-observation,StructureDefinition/physical-activity-observation,StructureDefinition/sleep-observation,StructureDefinition/nutrition-intake-observation,StructureDefinition/blood-pressure-observation,StructureDefinition/bmi-observation,StructureDefinition/macronutrients-observation,StructureDefinition/weight-observation,StructureDefinition/lifestyle-vital-signs,StructureDefinition/oxygen-saturation-observation","THO"
http://hl7.org/fhir/ValueSet/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.3.512",DaysOfWeek,DaysOfWeek,"The days of the week.","StructureDefinition/alert-timing","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/event-timing,4.0.1,active,"2.16.840.1.113883.4.642.3.75",EventTiming,EventTiming,"Real world event relating to the schedule.","StructureDefinition/alert-timing","THO (V3),hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/jurisdiction,4.0.1,active,"2.16.840.1.113883.4.642.3.48",Jurisdiction ValueSet,Jurisdiction,"This value set defines a base set of codes for country, country subdivision and region    for indicating where a resource is intended to be used.             Note: The codes for countries and country subdivisions are taken from    [ISO 3166](https://www.iso.org/iso-3166-country-codes.html)    while the codes for ""supra-national"" regions are from    [UN Standard country or area codes for statistical use (M49)](http://unstats.un.org/unsd/methods/m49/m49.htm).","StructureDefinition/mindfulness-operation,StructureDefinition/mindfulness-message-definition","hl7.terminology.r4,Other"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/mindfulness-observation,StructureDefinition/mindfulness-operation,StructureDefinition/heart-rate-observation,StructureDefinition/calorie-intake-observation,StructureDefinition/height-observation,StructureDefinition/mindfulness-configuration,StructureDefinition/water-intake-observation,StructureDefinition/mindfulness-alert,StructureDefinition/body-composition-observation,StructureDefinition/body-metrics-observation,StructureDefinition/mindfulness-audit-config,StructureDefinition/physical-activity-observation,StructureDefinition/mindfulness-audit,StructureDefinition/sleep-observation,StructureDefinition/nutrition-intake-observation,StructureDefinition/mindfulness-message-definition,StructureDefinition/blood-pressure-observation,StructureDefinition/bmi-observation,StructureDefinition/macronutrients-observation,StructureDefinition/weight-observation,StructureDefinition/lifestyle-vital-signs,StructureDefinition/mindfulness-schedule,StructureDefinition/oxygen-saturation-observation","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/message-events,4.0.1,active,"2.16.840.1.113883.4.642.3.26",MessageEvent,MessageEvent,"One of the message events defined as part of this version of FHIR.","StructureDefinition/mindfulness-message-definition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/message-significance-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.188",MessageSignificanceCategory,MessageSignificanceCategory,"The impact of the content of a message.","StructureDefinition/mindfulness-message-definition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/messageheader-response-request,4.0.1,draft,"2.16.840.1.113883.4.642.3.924",messageheader-response-request,messageheader-response-request,"HL7-defined table of codes which identify conditions under which acknowledgments are required to be returned in response to a message.","StructureDefinition/mindfulness-message-definition","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/mindfulness-observation,StructureDefinition/heart-rate-observation,StructureDefinition/calorie-intake-observation,StructureDefinition/height-observation,StructureDefinition/water-intake-observation,StructureDefinition/body-composition-observation,StructureDefinition/body-metrics-observation,StructureDefinition/physical-activity-observation,StructureDefinition/sleep-observation,StructureDefinition/nutrition-intake-observation,StructureDefinition/blood-pressure-observation,StructureDefinition/bmi-observation,StructureDefinition/macronutrients-observation,StructureDefinition/weight-observation,StructureDefinition/lifestyle-vital-signs,StructureDefinition/oxygen-saturation-observation","THO"
